Year,net_forest_change,aforestation,forest_loss,GFW_deforestation,forest_target
2005,-21715.95661,16043.22098,-37759.17759,2612,
2010,-24341.01674,8236.10422,-32577.12096,-8330,
2015,-25340.17911,10663.46982,-36003.64893,-9432,
2020,-7271.88102,19070.71268,-26342.59371,,
2025,15580.27937,40627.99068,-25047.71132,,
2030,13244.1101,28345.74876,-15101.63867,,0
2035,6207.58031,21590.50491,-15382.9246,,0
2040,11648.04557,26586.30491,-14938.25935,,0
2045,9733.47823,24055.80491,-14322.32668,,0
2050,10514.45622,23996.20491,-13481.74869,,0
